AC_Number,Constituency_Name,District,Type,Predicted_Winner_baseline,Predicted_Winner_Prob_baseline,P_All India Trinamool Congress_baseline,P_All India Trinamool Congress_calibrated,P_Bharatiya Janta Party_baseline,P_Bharatiya Janta Party_calibrated,P_OTHER_baseline,P_OTHER_calibrated,Candidate_AITC,Candidate_BJP,Candidate_INC,Candidate_LF,Candidate_Placeholder,Candidate_Present
274,Galsi,Barddhaman,SC,All India Trinamool Congress,0.9981528,0.9981528,0.9556975488909378,0.0016569821,0.0427395537448844,0.00019016888,0.0015628973641776,,,,,0,0
41,Gangarampur,Dakshin Dinajpur,SC,Bharatiya Janta Party,0.906603,0.07948472,0.0039802256408163,0.906603,0.9906378988421216,0.013912319,0.0053818755170618,,,,,0,0
233,Garbeta,Paschim Medinipur,GEN,All India Trinamool Congress,0.9872143,0.9872143,0.7468973765270867,0.012246383,0.2496008486949522,0.0005392264,0.0035017747779611,Uttara Singha (Hazra),???? ?????? ????? (Shri Pradeep Lodha),Siddhartha Bishoyee,,0,0
44,Gazole,Maldah,SC,Bharatiya Janta Party,0.92759037,0.06747077,0.0033160821288503,0.92759037,0.9948087244542834,0.0049388562,0.0018751934168662,,,,,0,0
231,Ghatal,Paschim Medinipur,SC,Bharatiya Janta Party,0.9691664,0.029372767,0.0013862406086932,0.9691664,0.998081138352371,0.0014608798,0.0005326210389358,,,,,0,0
30,Goalpokhar,Uttar Dinajpur,GEN,All India Trinamool Congress,0.9823685,0.9823685,0.7546201409795833,0.0091576325,0.1895072803186042,0.00847378,0.0558725787018124,Md. Ghulam Rabbani,???? ????? ??????? (Shri Sarjit Biswas),Masood Md Naseem Ahsen,JUBER ALAM,0,0
201,Goghat,Hugli,SC,Bharatiya Janta Party,0.9723307,0.027132796,0.0012769299052119,0.9723307,0.99852800393328,0.0005365366,0.0001950661615078,,,,,0,0
221,Gopiballavpur,Paschim Medinipur,GEN,All India Trinamool Congress,0.9874407,0.9874407,0.7510182578859168,0.011961217,0.2450775693361414,0.00059802865,0.0039041727779416,Ajit Mahata,???? ????? ???? (Shri Rajesh Mahto),Sourav Ghosh,BIKASH SARANGI,0,0
127,Gosaba,South  Twenty Four Parganas,SC,All India Trinamool Congress,0.99733233,0.99733233,0.9418133188854128,0.0021093327,0.053660997226843,0.00055833097,0.0045256838877442,,,,,0,0
43,Habibpur,Maldah,ST,Bharatiya Janta Party,0.96778363,0.028919889,0.0013659273172887,0.96778363,0.9974312784986038,0.0032964787,0.0012027941841073,,,,,0,0
100,Habra,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.98659337,0.98659337,0.7436091408571783,0.01226273,0.2489902933180714,0.0011439073,0.0074005658247503,Jyotipriya Mallick (Balu),???? ?????? ???? (Shri Debdas Mandal),,RIJI NANDAN BISWAS,0,0
209,Haldia,Purba Medinipur,SC,All India Trinamool Congress,0.6240982,0.6240982,0.0582913579898981,0.37349626,0.939780055600338,0.0024055827,0.0019285864097637,,,,,0,0
292,Hansan,Birbhum,GEN,All India Trinamool Congress,0.9997719,0.9997719,0.9944089000897874,0.00019956543,0.0053473438613812,2.855116e-05,0.0002437560488312,Fayezul Haque (Kajal Sk),???? ????? ?????? (Shri Nikhil Banerjee),Milton Rashid,KAMAL HASAN,0,0
121,Haroa,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9966157,0.9966157,0.937308732874561,0.0020488403,0.0519100886420125,0.0013354995,0.0107811784834264,Md. Mufti Abdul Matin,???? ?????? ???? (Shri Bhaskar Mondal),Md Rabiul Molla,,0,0
73,Hariharpara,Murshidabad,GEN,All India Trinamool Congress,0.9629862,0.9629862,0.498488181552835,0.035471834,0.4946604289052565,0.0015419713,0.0068513895419084,Niamot Seikh,???? ????? ??????? (Shri Tanmoy Biswas),Smt. Mousumi Begum,,0,0
93,Haringhata,Nadia,SC,Bharatiya Janta Party,0.9745668,0.024926296,0.0011705332831876,0.9745668,0.9986455566481588,0.000506955,0.0001839100686534,,,,,0,0
196,Haripal,Hugli,GEN,All India Trinamool Congress,0.98785305,0.98785305,0.7679630128195732,0.010580352,0.2215831841371315,0.0015666024,0.0104538030432952,Dr. Karabi Manna,??????? ??????? ??? (Smt. Madhumita Ghosh),Saif Azad,,0,0
42,Harirampur,Dakshin Dinajpur,GEN,All India Trinamool Congress,0.9852026,0.9852026,0.7559281930624379,0.010409991,0.2151761196429269,0.0043874327,0.0288956872946352,Biplab Mitra,???? ??????? ??????? (Shri Debabrata Majumder),Subhasish Pal (Sona),GAUTAM GOSWAMI,0,0
46,Harischandrapur,Maldah,GEN,All India Trinamool Congress,0.9977585,0.9977585,0.9465830531019755,0.0020192743,0.0516080358033632,0.00022213468,0.0018089110946611,,,,,0,0
33,Hemtabad,Uttar Dinajpur,SC,All India Trinamool Congress,0.9189665,0.9189665,0.3057448804421981,0.075787224,0.6792728195650984,0.0052462793,0.0149822999927033,,,,,0,0
126,Hingalganj,North Twenty Four Parganas,SC,All India Trinamool Congress,0.9834811,0.9834811,0.6969503550454349,0.015572614,0.2972939476170002,0.0009462253,0.0057556973375649,,,,,0,0
173,Howrah Dakshin,Haora,GEN,All India Trinamool Congress,0.9985536,0.9985536,0.9676416445028844,0.0011427922,0.0298331533328372,0.00030358857,0.0025252021642783,Nandita Choudhary,???? ?????? ???? (Shri Shyamal Hati),Smt. Deepsikha Bhowmick,DR. ABHIJIT BANDYOPADHYAY,0,0
171,Howrah Madhya,Haora,GEN,All India Trinamool Congress,0.9974833,0.9974833,0.9465939643906568,0.0018890521,0.0482937308258843,0.00062761176,0.0051123047834588,Arup Roy,???? ?????? ???? (Shri Biplab Mandal),Smt. Aparna Bose,ADV. IMTEAZ AHMED,0,0
170,Howrah Uttar,Haora,GEN,All India Trinamool Congress,0.982622,0.982622,0.8048891364705092,0.0048501804,0.1070277014000885,0.012527827,0.0880831621294022,Goutam Chowdhury,???? ???? ??? (Shri Umesh Rai),Om Prakash Jaiswal,PROF. GAUTAM ROY,0,0
257,Indus,Bankura,SC,Bharatiya Janta Party,0.98070407,0.01878683,0.0008769623295665,0.98070407,0.9989394234968926,0.0005091769,0.0001836141735408,,,,,0,0
29,Islampur,Uttar Dinajpur,GEN,All India Trinamool Congress,0.9851291,0.9851291,0.7497158419561799,0.01096263,0.2247537879385852,0.003908283,0.0255303701052348,Kanaia Lal Aggarwal,???? ???????? ??? (Shri Chitrajit Roy),,,0,0
36,Itahar,Uttar Dinajpur,GEN,All India Trinamool Congress,0.99507695,0.99507695,0.8955322463900958,0.0040217144,0.0975044668655766,0.00090140954,0.0069632867443276,Mosaraf Hussain,??????? ????? ????? (Smt. Sabita Barman),Amal Acharya,SUDIPTA DAS,0,0
150,Jadavpur,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.99766004,0.99766004,0.9550382854676968,0.0014645414,0.0377683994765064,0.0008754338,0.0071933150557968,Debabrata Majumdar,??????? ?????? ??????? (Smt. Sarbori Mukherjee),Smt. Shyamali Mandal,BIKASH RANJAN BHATTACHARYA,0,0
183,Jagatballavpur,Haora,GEN,All India Trinamool Congress,0.99673367,0.99673367,0.9422269814920156,0.0018020195,0.0458906931235173,0.0014643924,0.0118823253844669,Subir Chatterjee,???? ????? ??? (Shri Anupam Ghosh),Koushik Roy,,0,0
106,Jagatdal,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9975089,0.9975089,0.9643085101933552,0.00084648555,0.0220448674935823,0.0016445928,0.0136466223130625,Somenath Shyam Ichini,"??. ????? ?????, ?????? (Dr. Rajesh Kumar, IPS)",Smt. Mandira Chakraborty,PARVEJ AHMAD KHAN,0,0
76,Jalangi,Murshidabad,GEN,All India Trinamool Congress,0.994756,0.994756,0.8805025001199278,0.0049025556,0.1169028980239683,0.00034149876,0.0025946018561037,Babar Ali,???? ??? ????? ????? (Shri Naba Kumar Sarkar),Abdul Rezzak Molla,IANUS ALI SARKAR,0,0
17,Jalpaiguri,Jalpaiguri,SC,All India Trinamool Congress,0.8266515,0.8266515,0.155421233622187,0.16366312,0.8289482964271045,0.009685378,0.0156304699507084,,,,,0,0
262,Jamalpur,Barddhaman,SC,All India Trinamool Congress,0.9977258,0.9977258,0.9435804442874658,0.0021865738,0.0557083880950493,8.760657e-05,0.0007111676174848,,,,,0,0
279,Jamuria,Barddhaman,GEN,All India Trinamool Congress,0.9733498,0.9733498,0.6038429358751668,0.022326482,0.3731333489584998,0.0043236725,0.0230237151663334,Hareram Singh,??. ???? ??????? (Dr. Bijan Mukherjee),Tarun Kumar Ganguly,MD. SABBIR HUSSAIN,0,0
195,Jangipara,Hugli,GEN,All India Trinamool Congress,0.9969907,0.9969907,0.9310438296413632,0.0026154919,0.065799277061946,0.0003938341,0.0031568932966906,Snehasis Chakraborty,???? ????????? ??? (Shri Prasenjit Bag),Subhashis Datta,SUDIPTA SARKAR,0,0
58,Jangipur,Murshidabad,GEN,All India Trinamool Congress,0.9877621,0.9877621,0.7597745773411467,0.011291521,0.2339772161017455,0.0009463579,0.0062482065571077,Jakir Hossain,??. ?????? ??????? (Adv. Chitto Mukherjee),Mohammad Imran Ali,,0,0
136,Jaynagar,South  Twenty Four Parganas,SC,All India Trinamool Congress,0.99853086,0.99853086,0.9645380868375112,0.0013129953,0.0341672310888959,0.00015614845,0.0012946820735928,,,,,0,0
222,Jhargram,Paschim Medinipur,GEN,All India Trinamool Congress,0.9985207,0.9985207,0.9630159433445452,0.0013973541,0.0363054314183349,8.197587e-05,0.0006786252371196,Mangal Soren,???? ??????????? ???? (Shri Lakshmikant Sahu),Prasenjit Dey,ARJUN MAHATO,0,0
165,Jorasanko,Kolkata,GEN,All India Trinamool Congress,0.96242017,0.96242017,0.5023992291598623,0.03435729,0.4831610011436043,0.0032226152,0.0144397696965333,Vijay Upadhayay,???? ???? ??? (Shri Vijay Ojha),Deepak Singh,BHARAT RAM TIWARI,0,0
241,Joypur,Puruliya,GEN,Bharatiya Janta Party,0.95804626,0.041290544,0.0019707305296791,0.95804626,0.9977847504562511,0.0006631716,0.0002445190140697,Arjun Mahato,???? ???????? ???? (Shri Biswajit Mahato),Phani Bhushan Kumar,DHIRENDRA NATH MAHATO,0,0
131,Kakdwip,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9356848,0.9356848,0.4364378370789172,0.03574736,0.4491852821694128,0.02856787,0.11437688075167,Manturam Pakhira,???? ??????? ??? (Shri Deepankar Jana),Nasiruddin Ahamed,NARAYAN DAS,0,0
11,Kalchini,Jalpaiguri,ST,Bharatiya Janta Party,0.98951334,0.009126144,0.0004222767236477,0.98951334,0.9990914033595564,0.0013605113,0.0004863199167959,,,,,0,0
34,Kaliaganj,Uttar Dinajpur,SC,Bharatiya Janta Party,0.95161825,0.043788485,0.0021007221868248,0.95161825,0.9961969491903918,0.004593298,0.0017023286227834,,,,,0,0
80,Kaliganj,Nadia,GEN,All India Trinamool Congress,0.99674773,0.99674773,0.9211833950813964,0.0031251868,0.0778082326122734,0.00012711374,0.0010083723063301,Alifa Ahmed,???? ???? ??? (Shri Bapan Ghosh),Kabil Uddin Shaikh,SABINA YASMIN,0,0
22,Kalimpong,Darjiling,GEN,OTHER,0.7435723,0.12286457,0.0144021392302805,0.13356313,0.3795929703020599,0.7435723,0.6060048904676595,*********,???? ??? ?????? (Shri Bharat Chetri),Santa Kumar Pradhan,,0,0
264,Kalna,Barddhaman,SC,All India Trinamool Congress,0.9714423,0.9714423,0.5595009792705922,0.028312253,0.4392856281048938,0.0002454426,0.0012133926245139,,,,,0,0
92,Kalyani,Nadia,SC,Bharatiya Janta Party,0.9962239,0.0035983454,0.0001654904121523,0.9962239,0.9997713524182932,0.0001777635,6.31571695543985e-05,,,,,0,0
112,Kamarhati,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.99855226,0.99855226,0.975616879702906,0.0006826118,0.0179668119316061,0.00076508406,0.0064163083654877,Madan Mitra,???? ???? ????? (Shri Arup Choudhury),Kallol Mukherjee,MANAS MUKHERJEE,0,0
68,Kandi,Murshidabad,GEN,All India Trinamool Congress,0.99472964,0.99472964,0.8860991326531741,0.004501365,0.1080215005951926,0.0007689281,0.0058793667516332,Apurba Sarkar (David),??????? ?????? ??? ??? (Smt. Gargi Das Ghosh),Dr. Shamim Rana,DR. REJAUL KARIM,0,0
216,Kanthi Dakshin,Purba Medinipur,GEN,Bharatiya Janta Party,0.90297335,0.095437,0.0048172629620236,0.90297335,0.9945628896765484,0.0015896119,0.000619847361428,Tarun Kr Jana,???? ???? ????? ??? (Shri Arup Kumar Das),Sk. Masud Malik,TEHARAN HOSSAIN,0,0
213,Kanthi Uttar,Purba Medinipur,GEN,Bharatiya Janta Party,0.89621305,0.091507666,0.0046350381654848,0.89621305,0.9905601266279348,0.012279271,0.0048048352065803,Debasis Bhunia (Lalu),??????? ?????? ?????? (Smt. Sumita Sinha),Subrata Mahapatra,SUTANU MAITY,0,0
32,Karandighi,Uttar Dinajpur,GEN,All India Trinamool Congress,0.96822864,0.96822864,0.5364084943459884,0.030730242,0.4586405247544826,0.0010411324,0.004950980899529,Gautam Paul,??. ????? ??????? (Adv. Biraj Biswas),Murshid Alam,MD. SAHABUDDIN,0,0
77,Karimpur,Nadia,GEN,All India Trinamool Congress,0.9493582,0.9493582,0.4206890070693958,0.047539465,0.5675107223675709,0.0031023682,0.0118002705630333,Soham Chakraborty,???? ??????????? ??? (Shri Samarendranath Ghosh),Smt. Pooja Roy Chowdhury,PRAVAS MAJUMDER (SC),0,0
149,Kasba,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9969336,0.9969336,0.94508047186778,0.001722173,0.0439812993624351,0.0013442402,0.0109382287697849,Javed Ahmed Khan,???? ????? ?????? (Shri Sandeep Banerjee),Md. Hasim Zeshan Ahmad,DIPU DAS,0,0
244,Kashipur,Puruliya,GEN,Bharatiya Janta Party,0.96948606,0.02920351,0.0013778855451036,0.96948606,0.9981444644903132,0.0013104534,0.000477649964583,Soumen Beltharia,???? ??????? ????? (Shri Kamalkanta Hansda),Subhas Mahato,SULEKHA BAURI,0,0
168,Kashipur-Belgachhia,Kolkata,GEN,All India Trinamool Congress,0.99921227,0.99921227,0.984957287579972,0.00046302128,0.0122955883362338,0.00032467666,0.002747124083794,,,,,0,0
256,Katulpur,Bankura,SC,Bharatiya Janta Party,0.9893289,0.008594553,0.0003976614891412,0.9893289,0.9988601306328426,0.002076468,0.000742207878016,,,,,0,0
270,Katwa,Barddhaman,GEN,All India Trinamool Congress,0.99267817,0.99267817,0.84145967696214,0.0067653493,0.1544912140170815,0.00055650243,0.0040491090207784,Rabindranath Chatterjee,???? ?????? ??? (Shri Krishna Ghosh),Ranajit Chatterjee,SANJIB DAS,0,0
223,Keshiary,Paschim Medinipur,ST,All India Trinamool Congress,0.98848456,0.98848456,0.764478535983531,0.011205649,0.2334646571894802,0.00030983504,0.0020568068269887,,,,,0,0
235,Keshpur,Paschim Medinipur,SC,All India Trinamool Congress,0.9549859,0.9549859,0.4611174113593067,0.039750684,0.5170682739494697,0.005263316,0.0218143146912235,,,,,0,0
271,Ketugram,Barddhaman,GEN,All India Trinamool Congress,0.99856853,0.99856853,0.9648992620207304,0.0013096145,0.0340907297351883,0.00012177363,0.0010100082440811,Sekh Sahonawez,???? ????? ??? (?????) (Shri Anadi Ghosh (Mathura)),Md. Mofirul Kassem,,0,0
202,Khanakul,Hugli,GEN,Bharatiya Janta Party,0.95653147,0.042258095,0.0020195955339951,0.95653147,0.9975335058454692,0.0012104433,0.0004468986205356,Palash Roy,???? ?????? ??? (Shri Susanta Ghosh),Pradip Kumar Kar,,0,0
259,Khandaghosh,Barddhaman,SC,All India Trinamool Congress,0.9955,0.9955,0.8948288825788188,0.004269901,0.1033963620318366,0.0002300235,0.0017747553893445,,,,,0,0
228,Kharagpur,Paschim Medinipur,GEN,All India Trinamool Congress,0.9984633,0.9984633,0.9638823760590046,0.0013195844,0.0343176728297384,0.0002172207,0.0017999511112568,Dinen Roy,???? ??? ???? (Shri Tapan Bhuya),Ujjal Mukherjee,SK. SAHAJAHAN ALI,0,0
224,Kharagpur Sadar,Paschim Medinipur,GEN,Bharatiya Janta Party,0.9376277,0.05678879,0.0027621202771059,0.9376277,0.9951399065237936,0.0055835433,0.0020979731991003,Pradip Sarkar,???? ????? ??? (Shri Dilip Ghosh),Dr. Smt. Papiya Chakraborty,MADHUSUDAN ROY,0,0
109,Khardaha,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9990606,0.9990606,0.9820556211710104,0.00055520487,0.014702332636922,0.00038424425,0.0032420461920674,Devdeep Purohit,??. ?????? ????????? (Dr. Kalyan Chakraborty),Joydev Ghosh,DEBOJYOTI DAS,0,0
66,Khargram,Murshidabad,SC,All India Trinamool Congress,0.99537164,0.99537164,0.896946706517733,0.0040659173,0.0987026110127061,0.00056248176,0.0043506824695609,,,,,0,0
215,Khejuri,Purba Medinipur,SC,Bharatiya Janta Party,0.92368317,0.07187915,0.0035475188231367,0.92368317,0.9947605387390176,0.004437657,0.0016919424378458,,,,,0,0
158,Kolkata Port,Kolkata,GEN,All India Trinamool Congress,0.9993318,0.9993318,0.9872312336715304,0.00039171302,0.01042475627725,0.00027642844,0.0023440100512195,Firhad Hakim,???? ????? ???? (Shri Rakesh Singh),Aquib Gulzar,FAIYAZ KHAN,0,0
83,Krishnanagar Uttar,Nadia,GEN,Bharatiya Janta Party,0.85907644,0.14001094,0.0074107586583465,0.85907644,0.9922160548611688,0.00091267284,0.0003731864804847,Avinabha Bhattacharya,???? ??????? ?????? (Shri Taraknath Chatterjee),Arghya Gon,ADWAITA BISWAS,0,0
88,Krishnaganj,Nadia,SC,Bharatiya Janta Party,0.9821322,0.016650727,0.000776000262719,0.9821322,0.9987858027772424,0.0012171122,0.0004381969600385,,,,,0,0
85,Krishnanagar Dakshin,Nadia,GEN,All India Trinamool Congress,0.9402453,0.9402453,0.3828531242197791,0.05462755,0.5992271345120334,0.005127116,0.0179197412681876,Ujjwal Biswas,???? ???? ??? (Shri Sadhan Ghosh),Abdur Rahim Shaikh,,0,0
133,Kulpi,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.99884003,0.99884003,0.9771559769415228,0.00072968716,0.0192306242243956,0.00043030895,0.0036133988340814,Barnali Dhara,???? ???? ????? (Shri Abni Naskar),Kutub Uddin Molla,,0,0
129,Kultali,South  Twenty Four Parganas,SC,All India Trinamool Congress,0.9943751,0.9943751,0.8991802311207228,0.0034436728,0.0838894048757444,0.0021812338,0.0169303640035328,,,,,0,0
282,Kulti,Barddhaman,GEN,Bharatiya Janta Party,0.9574749,0.040823437,0.0019488931867944,0.9574749,0.9974235354770352,0.0017016669,0.0006275713361704,Abhijit Ghatak,???? ??? ????? ??????? (Shri Ajay Kumar Poddar),Rabi Yadav,BHABANI ACHARYA,0,0
38,Kumarganj,Dakshin Dinajpur,GEN,All India Trinamool Congress,0.9653495,0.9653495,0.5255923397747213,0.031265974,0.4585905879031476,0.0033844966,0.0158170723221308,Toraf Hossain Mondal,???? ??????? ????? (Shri Suvendu Sarkar),Gulam Martuja Mandal,MOFAZZAL HOSSAIN,0,0
10,Kumargram,Jalpaiguri,ST,Bharatiya Janta Party,0.9771164,0.019919423,0.000932363865111,0.9771164,0.99799582497681,0.0029641455,0.0010718111580789,,,,,0,0
24,Kurseong,Darjiling,GEN,Bharatiya Janta Party,0.97909,0.008633606,0.0004021588307273,0.97909,0.9951802336549004,0.012276418,0.0044176075143723,*********,???? ???? ???? (Shri Sonam Lama),Saroj Kumar Khatri,,0,0
37,Kushmandi,Dakshin Dinajpur,SC,All India Trinamool Congress,0.9101039,0.9101039,0.2950217106433037,0.07644076,0.6675391192570549,0.01345537,0.0374391700996414,,,,,0,0
288,Labhpur,Birbhum,GEN,All India Trinamool Congress,0.9959675,0.9959675,0.9070787413552224,0.003672618,0.0901081978356436,0.0003598419,0.0028130608091339,,,,,0,0
61,Lalgola,Murshidabad,GEN,All India Trinamool Congress,0.99927896,0.99927896,0.9838051483995718,0.0005589776,0.014825367779544,0.0001620567,0.0013694838208841,Dr. Abdul Aziz,???? ??? ????? ??? (Shri Amar Kumar Das),Md. Touhidur Rahaman,,0,0
14,Madarihat,Jalpaiguri,ST,Bharatiya Janta Party,0.91806936,0.060907338,0.0030068096510878,0.91806936,0.9889755448983768,0.021023279,0.0080176454505352,,,,,0,0
118,Madhyamgram,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9990447,0.9990447,0.98389965834106,0.00044389832,0.0117770932717836,0.00051141885,0.0043232483871563,Rathin Ghosh,???? ?????????? ???? ?????? (Shri Anindya Raju Banerjee),Ananta Roy,,0,0
142,Magrahat Paschim,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.99938035,0.99938035,0.9871941214653724,0.00041652264,0.0110840656790703,0.0002030704,0.0017218128555572,Shamim Ahmed,???? ??? ????? ??? (Shri Gour Sundar Ghosh),Abdul Majid Halder,,0,0
141,Magrahat Purba,South  Twenty Four Parganas,SC,All India Trinamool Congress,0.99891746,0.99891746,0.9749771629176166,0.00089047477,0.0234139766928462,0.00019203746,0.0016088603895371,,,,,0,0
155,Maheshtala,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.99943715,0.99943715,0.9880661529537712,0.0003944498,0.0105053614081631,0.0001683363,0.0014284856380657,Subhasis Das,???? ????? ????? (Shri Tamanath Bhowmik),Haji Abdul Hannan,ADV. SAYAN BANERJEE,0,0
208,Mahishadal,Purba Medinipur,GEN,All India Trinamool Congress,0.9667165,0.9667165,0.5279205006840215,0.031530507,0.463862296475472,0.0017530207,0.0082172028405063,,,,,0,0
20,Mal,Jalpaiguri,ST,Bharatiya Janta Party,0.64562565,0.3440064,0.0237045228380824,0.64562565,0.9707764087043076,0.010367905,0.0055190684576098,,,,,0,0
47,Malatipur,Maldah,GEN,All India Trinamool Congress,0.9984865,0.9984865,0.9693904133716724,0.0010098675,0.026412508056732,0.00050364324,0.0041970785715957,Abdur Rahim Boxi,???? ???? ??? (Shri Ashish Das),Smt. Mausam Noor,MINARUL HOSSAIN,0,0
50,Maldaha,Maldah,SC,All India Trinamool Congress,0.8484458,0.8484458,0.1729746661980512,0.15012665,0.8245270620183052,0.0014276236,0.0024982717836436,,,,,0,0
243,Manbazar,Puruliya,ST,All India Trinamool Congress,0.98169196,0.98169196,0.6683943523982813,0.017971992,0.3296419524128124,0.0003360075,0.0019636951889061,,,,,0,0
135,Mandirbazar,South  Twenty Four Parganas,SC,All India Trinamool Congress,0.9971607,0.9971607,0.9430821588068932,0.0019508437,0.049704484534806,0.00088855735,0.0072133566583009,,,,,0,0
272,Mongalkote,Barddhaman,GEN,All India Trinamool Congress,0.99952316,0.99952316,0.9883086930864508,0.00042114232,0.0112180497748068,5.576091e-05,0.0004732571387424,,,,,0,0
49,Manikchak,Maldah,GEN,All India Trinamool Congress,0.98544794,0.98544794,0.7200768211517661,0.014064994,0.2768684187324864,0.00048703974,0.0030547601157475,Kabita Mandal,???? ??? ????? ???? (Shri Gaur Chandra Mandal),Md. Ansarul Hoque,DEBOJYOTI SINHA,0,0
167,Maniktola,Kolkata,GEN,All India Trinamool Congress,0.99620795,0.99620795,0.9232265510565836,0.002739901,0.0684040596713295,0.0010521264,0.0083693892720869,,,,,0,0
2,Mathabhanga,Koch Bihar,SC,Bharatiya Janta Party,0.959859,0.039286006,0.0018715704670779,0.959859,0.9978137602390402,0.00085501943,0.0003146692938818,,,,,0,0
157,Metiaburuz,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9990213,0.9990213,0.9767616043458228,0.0008371785,0.0220506106926108,0.00014153258,0.0011877849615662,,,,,0,0
25,Matigara-Naxalbari,Darjiling,SC,Bharatiya Janta Party,0.9570841,0.03839252,0.0018318942940247,0.9570841,0.9965007608149768,0.0045233644,0.0016673448909985,,,,,0,0
16,Maynaguri,Jalpaiguri,SC,Bharatiya Janta Party,0.9798481,0.003472515,0.0001614106404513,0.9798481,0.9938492805179592,0.01667933,0.0059893088415894,,,,,0,0
290,Mayureswar,Birbhum,GEN,All India Trinamool Congress,0.99250174,0.99250174,0.8358010124598191,0.0071160956,0.1614366413567533,0.00038215445,0.0027623461834276,Abhijit Roy,???? ??? ????? ???? (Shri Dudh Kumar Mondal),Syed Kasafoddoza (Chandan),,0,0
236,Medinipur,Paschim Medinipur,GEN,All India Trinamool Congress,0.99688786,0.99688786,0.9346040378759348,0.0023447832,0.0592205945492919,0.00076738605,0.0061753675747733,Sujoy Hazra,??. ???? ??????? (Dr. Sankar Guchhait),Sambhunath Chattopadhyay,MONIKUNTAL KHAMRUI,0,0
1,Mekliganj,Koch Bihar,SC,All India Trinamool Congress,0.88096255,0.88096255,0.2302878079266924,0.10474876,0.737651301815008,0.014288759,0.0320608902582996,,,,,0,0
